Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
1324,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-05-22T04:32:54Z
4,System,IPv4,TCP,LISTEN,10.22.132.161,139,0.0.0.0,0,2026-05-29T08:30:41Z
4,System,IPv4,TCP,LISTEN,192.168.56.1,139,0.0.0.0,0,2026-05-29T08:30:29Z
4,System,IPv4,TCP,LISTEN,192.168.251.1,139,0.0.0.0,0,2026-05-29T08:30:29Z
1972,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2026-05-29T08:30:26Z
12852,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,5387,127.0.0.1,8001,2026-05-29T09:21:23Z
12852,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,2026-05-29T09:21:23Z
12852,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,46486,2026-05-29T09:21:29Z
12852,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,46492,2026-05-29T09:21:33Z
12852,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,46490,2026-05-29T09:21:31Z
12852,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,46494,2026-05-29T09:21:33Z
12852,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,2026-05-29T09:21:23Z
12852,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8001,127.0.0.1,5387,2026-05-29T09:21:23Z
12852,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8003,0.0.0.0,0,2026-05-29T09:21:23Z
10976,msedge.exe,IPv4,TCP,ESTAB,10.22.132.161,8586,3.91.140.69,443,2026-05-29T09:12:16Z
5660,nessusd.exe,IPv4,TCP,LISTEN,0.0.0.0,8834,0.0.0.0,0,2026-05-26T11:33:48Z
12852,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8889,0.0.0.0,0,2026-05-29T09:21:23Z
12852,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,33395,2026-05-29T09:21:24Z
10976,msedge.exe,IPv4,TCP,ESTAB,10.22.132.161,20912,74.178.130.41,443,2026-05-29T08:31:30Z
5696,msedgewebview2.exe,IPv4,TCP,ESTAB,10.22.132.161,21821,52.168.112.66,443,2026-05-29T09:26:14Z
10976,msedge.exe,IPv4,TCP,ESTAB,10.22.132.161,24658,65.0.200.43,443,2026-05-29T09:25:30Z
10976,msedge.exe,IPv4,TCP,ESTAB,127.0.0.1,33395,127.0.0.1,8889,2026-05-29T09:21:24Z
5696,msedgewebview2.exe,IPv4,TCP,ESTAB,10.22.132.161,38261,52.168.112.66,443,2026-05-29T09:26:14Z
8460,svchost.exe,IPv4,TCP,ESTAB,10.22.132.161,38263,20.190.144.136,443,2026-05-29T09:27:10Z
10976,msedge.exe,IPv4,TCP,ESTAB,10.22.132.161,41023,54.147.113.102,443,2026-05-29T09:25:21Z
12852,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,46486,127.0.0.1,8000,2026-05-29T09:21:29Z
12852,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,46490,127.0.0.1,8000,2026-05-29T09:21:31Z
12852,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,46492,127.0.0.1,8000,2026-05-29T09:21:33Z
12852,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,46494,127.0.0.1,8000,2026-05-29T09:21:33Z
828,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2026-05-22T04:32:54Z
948,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2026-05-22T04:32:54Z
2236,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2026-05-22T04:32:55Z
2848,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2026-05-22T04:32:56Z
3772,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2026-05-22T04:32:57Z
784,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49669,0.0.0.0,0,2026-05-22T04:33:05Z
5660,nessusd.exe,IPv4,TCP,ESTAB,127.0.0.1,49697,127.0.0.1,49698,2026-05-22T04:34:04Z
5660,nessusd.exe,IPv4,TCP,ESTAB,127.0.0.1,49698,127.0.0.1,49697,2026-05-22T04:34:04Z
5660,nessusd.exe,IPv4,TCP,ESTAB,127.0.0.1,49703,127.0.0.1,49704,2026-05-22T04:34:11Z
5660,nessusd.exe,IPv4,TCP,ESTAB,127.0.0.1,49704,127.0.0.1,49703,2026-05-22T04:34:11Z
10976,msedge.exe,IPv4,TCP,ESTAB,10.22.132.161,52235,18.245.60.112,443,2026-05-29T09:19:04Z
10976,msedge.exe,IPv4,TCP,ESTAB,10.22.132.161,65283,54.147.113.102,443,2026-05-29T09:25:21Z
4,System,IPv4,TCP,LISTEN,0.0.0.0,445,0.0.0.0,0,2026-05-22T04:32:58Z
1324,svchost.exe,IPv6,TCP,LISTEN,::,135,::,0,2026-05-22T04:32:54Z
4,System,IPv6,TCP,LISTEN,::,445,::,0,2026-05-22T04:32:58Z
5660,nessusd.exe,IPv6,TCP,LISTEN,::,8834,::,0,2026-05-26T11:33:48Z
10976,msedge.exe,IPv6,TCP,ESTAB,2401:4900:7c7c:4da7:2198:fda0:3183:7980,9511,2a06:98c1:3100::6812:202f,443,2026-05-29T08:41:52Z
10976,msedge.exe,IPv6,TCP,ESTAB,2401:4900:7c7c:4da7:2198:fda0:3183:7980,12286,2a06:98c1:3107::6812:2715,443,2026-05-29T09:05:14Z
23436,ms-teams.exe,IPv6,TCP,ESTAB,2401:4900:7c7c:4da7:2198:fda0:3183:7980,14101,2603:1040:603:c::d4,443,2026-05-29T08:31:19Z
3408,WINWORD.EXE,IPv6,TCP,ESTAB,2401:4900:7c7c:4da7:2198:fda0:3183:7980,16788,2603:1026:2405:1::46,443,2026-05-29T08:31:08Z
5696,msedgewebview2.exe,IPv6,TCP,ESTAB,2401:4900:7c7c:4da7:2198:fda0:3183:7980,31023,2603:1010:3:b::1e,443,2026-05-29T08:31:14Z
4168,svchost.exe,IPv6,TCP,ESTAB,2401:4900:7c7c:4da7:2198:fda0:3183:7980,34891,2603:1040:a06:6::,443,2026-05-29T08:30:41Z
10976,msedge.exe,IPv6,TCP,ESTAB,2401:4900:7c7c:4da7:2198:fda0:3183:7980,45267,2620:1ec:33::11,443,2026-05-29T09:19:39Z
20976,msedgewebview2.exe,IPv6,TCP,ESTAB,2401:4900:7c7c:4da7:2198:fda0:3183:7980,49277,2a03:2880:f242:1c2:face:b00c:0:167,5222,2026-05-29T09:25:45Z
828,lsass.exe,IPv6,TCP,LISTEN,::,49664,::,0,2026-05-22T04:32:54Z
948,wininit.exe,IPv6,TCP,LISTEN,::,49665,::,0,2026-05-22T04:32:54Z
2236,svchost.exe,IPv6,TCP,LISTEN,::,49666,::,0,2026-05-22T04:32:55Z
2848,svchost.exe,IPv6,TCP,LISTEN,::,49667,::,0,2026-05-22T04:32:56Z
3772,spoolsv.exe,IPv6,TCP,LISTEN,::,49668,::,0,2026-05-22T04:32:57Z
784,services.exe,IPv6,TCP,LISTEN,::,49669,::,0,2026-05-22T04:33:05Z
10976,msedge.exe,IPv6,TCP,ESTAB,2401:4900:7c7c:4da7:2198:fda0:3183:7980,55899,2620:1ec:33:1::11,443,2026-05-29T09:22:34Z
4,System,IPv4,UDP,,10.22.132.161,137,,0,2026-05-29T08:30:41Z
4,System,IPv4,UDP,,192.168.56.1,137,,0,2026-05-29T08:30:29Z
4,System,IPv4,UDP,,192.168.251.1,137,,0,2026-05-29T08:30:29Z
4,System,IPv4,UDP,,10.22.132.161,138,,0,2026-05-29T08:30:41Z
4,System,IPv4,UDP,,192.168.56.1,138,,0,2026-05-29T08:30:29Z
4,System,IPv4,UDP,,192.168.251.1,138,,0,2026-05-29T08:30:29Z
4152,svchost.exe,IPv4,UDP,,0.0.0.0,500,,0,2026-05-22T04:32:57Z
5736,svchost.exe,IPv4,UDP,,10.22.132.161,1900,,0,2026-05-29T08:30:39Z
5736,svchost.exe,IPv4,UDP,,127.0.0.1,1900,,0,2026-05-29T08:30:39Z
5736,svchost.exe,IPv4,UDP,,192.168.56.1,1900,,0,2026-05-29T08:30:39Z
5736,svchost.exe,IPv4,UDP,,192.168.251.1,1900,,0,2026-05-29T08:30:39Z
6976,svchost.exe,IPv4,UDP,,10.22.132.161,2177,,0,2026-05-29T08:30:38Z
6976,svchost.exe,IPv4,UDP,,192.168.56.1,2177,,0,2026-05-29T08:30:26Z
6976,svchost.exe,IPv4,UDP,,192.168.251.1,2177,,0,2026-05-29T08:30:26Z
4152,svchost.exe,IPv4,UDP,,0.0.0.0,4500,,0,2026-05-22T04:32:57Z
1972,svchost.exe,IPv4,UDP,,0.0.0.0,5050,,0,2026-05-22T04:35:20Z
22184,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:31:33Z
2168,svchost.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:30:41Z
22184,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:31:33Z
10976,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:31:39Z
22184,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:31:33Z
10976,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:31:39Z
10976,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:31:39Z
2168,svchost.exe,IPv4,UDP,,0.0.0.0,5355,,0,2026-05-29T09:26:08Z
10976,msedge.exe,IPv4,UDP,,0.0.0.0,51123,,0,2026-05-29T09:27:58Z
5736,svchost.exe,IPv4,UDP,,192.168.251.1,53136,,0,2026-05-29T08:30:39Z
5736,svchost.exe,IPv4,UDP,,192.168.56.1,53137,,0,2026-05-29T08:30:39Z
5736,svchost.exe,IPv4,UDP,,10.22.132.161,53138,,0,2026-05-29T08:30:39Z
5736,svchost.exe,IPv4,UDP,,127.0.0.1,53139,,0,2026-05-29T08:30:39Z
4144,svchost.exe,IPv4,UDP,,127.0.0.1,55924,,0,2026-05-22T04:32:58Z
10976,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:31:39Z
22184,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:31:33Z
22184,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:31:33Z
22184,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:31:33Z
10976,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:31:39Z
10976,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-05-29T08:31:39Z
23436,ms-teams.exe,IPv4,UDP,,0.0.0.0,50076,,0,2026-05-29T08:31:19Z
4152,svchost.exe,IPv6,UDP,,::,500,,0,2026-05-22T04:32:57Z
5736,svchost.exe,IPv6,UDP,,::1,1900,,0,2026-05-29T08:30:39Z
5736,svchost.exe,IPv6,UDP,,fe80::2998:4235:9267:fa4a,1900,,0,2026-05-29T08:30:39Z
5736,svchost.exe,IPv6,UDP,,fe80::45df:2d77:e5a6:e9e9,1900,,0,2026-05-29T08:30:39Z
5736,svchost.exe,IPv6,UDP,,fe80::8f74:46b2:9fdd:1a73,1900,,0,2026-05-29T08:30:39Z
6976,svchost.exe,IPv6,UDP,,2401:4900:7c7c:4da7::126,2177,,0,2026-05-29T08:30:40Z
6976,svchost.exe,IPv6,UDP,,2401:4900:7c7c:4da7:2198:fda0:3183:7980,2177,,0,2026-05-29T08:30:38Z
6976,svchost.exe,IPv6,UDP,,2401:4900:7c7c:4da7:7f3a:8110:8bb8:2c09,2177,,0,2026-05-29T08:30:38Z
6976,svchost.exe,IPv6,UDP,,fe80::2998:4235:9267:fa4a,2177,,0,2026-05-29T08:30:26Z
6976,svchost.exe,IPv6,UDP,,fe80::45df:2d77:e5a6:e9e9,2177,,0,2026-05-29T08:30:26Z
6976,svchost.exe,IPv6,UDP,,fe80::8f74:46b2:9fdd:1a73,2177,,0,2026-05-29T08:30:38Z
4152,svchost.exe,IPv6,UDP,,::,4500,,0,2026-05-22T04:32:57Z
10976,msedge.exe,IPv6,UDP,,::,5353,,0,2026-05-29T08:31:39Z
22184,msedge.exe,IPv6,UDP,,::,5353,,0,2026-05-29T08:31:33Z
22184,msedge.exe,IPv6,UDP,,::,5353,,0,2026-05-29T08:31:33Z
22184,msedge.exe,IPv6,UDP,,::,5353,,0,2026-05-29T08:31:33Z
2168,svchost.exe,IPv6,UDP,,::,5353,,0,2026-05-29T08:30:41Z
10976,msedge.exe,IPv6,UDP,,::,5353,,0,2026-05-29T08:31:39Z
10976,msedge.exe,IPv6,UDP,,::,5353,,0,2026-05-29T08:31:39Z
2168,svchost.exe,IPv6,UDP,,::,5355,,0,2026-05-29T09:26:08Z
23436,ms-teams.exe,IPv6,UDP,,::,50076,,0,2026-05-29T08:31:19Z
5736,svchost.exe,IPv6,UDP,,fe80::45df:2d77:e5a6:e9e9,53132,,0,2026-05-29T08:30:39Z
5736,svchost.exe,IPv6,UDP,,fe80::2998:4235:9267:fa4a,53133,,0,2026-05-29T08:30:39Z
5736,svchost.exe,IPv6,UDP,,fe80::8f74:46b2:9fdd:1a73,53134,,0,2026-05-29T08:30:39Z
5736,svchost.exe,IPv6,UDP,,::1,53135,,0,2026-05-29T08:30:39Z
